               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027655,           0.0083499,           0.0040603,             0.58939,             0.34432,               0.307,             0.14499,            0.022222,           0.0050551,           0.0029795,           0.0015984,           0.0015984,            0.026624
                   1,            0.025514,           0.0075214,           0.0034952,             0.64314,             0.38065,              0.3688,              0.1751,            0.021522,           0.0047688,           0.0027616,           0.0031977,           0.0031977,           0.0032228
                   2,            0.024599,           0.0072044,           0.0032155,             0.70015,             0.37955,              0.3989,             0.19239,            0.020868,           0.0046176,           0.0024867,           0.0031972,           0.0031972,           0.0031972
                   3,            0.023827,           0.0070679,           0.0030091,             0.70973,             0.40028,             0.42149,             0.20737,            0.020499,           0.0045599,           0.0023522,           0.0031972,           0.0031972,           0.0031972
                   4,             0.02349,           0.0069259,            0.002854,             0.74771,             0.40364,             0.43936,             0.21269,            0.020498,           0.0045111,           0.0022682,           0.0031938,           0.0031938,           0.0031938
                   5,            0.023277,           0.0069032,           0.0027792,             0.77836,             0.40495,             0.45943,             0.22762,            0.020104,           0.0044812,           0.0021021,           0.0031889,           0.0031889,           0.0031889
                   6,            0.023034,           0.0068161,           0.0026923,             0.79219,             0.40938,              0.4688,             0.23041,            0.019991,           0.0044421,           0.0020422,           0.0031827,           0.0031827,           0.0031827
                   7,            0.022794,           0.0067873,           0.0025511,             0.78356,             0.42354,             0.49008,             0.24458,            0.019839,           0.0044068,           0.0019449,           0.0031751,           0.0031751,           0.0031751
                   8,            0.022735,           0.0067434,           0.0025516,             0.78891,             0.43193,             0.50581,             0.25445,            0.019748,           0.0043855,           0.0018615,           0.0031661,           0.0031661,           0.0031661
                   9,            0.022564,           0.0066823,           0.0025038,             0.79524,             0.43607,             0.50786,             0.25608,            0.019668,           0.0043694,           0.0018136,           0.0031558,           0.0031558,           0.0031558
                  10,            0.022425,           0.0067159,           0.0024631,              0.7954,             0.44773,             0.51827,             0.26167,            0.019617,           0.0043415,           0.0017767,           0.0031441,           0.0031441,           0.0031441
                  11,            0.022337,           0.0066464,           0.0024274,             0.81545,             0.44587,              0.5274,             0.26769,              0.0194,           0.0043264,           0.0017396,           0.0031311,           0.0031311,           0.0031311
                  12,            0.022273,           0.0066485,           0.0023756,             0.80341,             0.46018,             0.54054,             0.27135,            0.019397,           0.0043039,           0.0017119,           0.0031168,           0.0031168,           0.0031168
                  13,            0.022068,           0.0066229,           0.0023223,             0.83275,             0.45104,             0.54377,             0.27601,             0.01929,           0.0042952,           0.0016192,           0.0031011,           0.0031011,           0.0031011
