               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027454,            0.019318,           0.0020415,             0.92142,             0.73553,              0.7921,             0.46792,            0.028515,            0.015386,           0.0018645,           0.0033308,           0.0033308,            0.070023
                   1,            0.029618,            0.020044,           0.0022076,             0.90814,              0.7253,              0.7844,             0.44703,            0.029754,            0.015786,           0.0021039,           0.0066477,           0.0066477,            0.040006
                   2,            0.032468,            0.022234,           0.0028249,             0.87839,              0.6713,             0.73863,             0.38802,            0.031987,            0.017369,           0.0028004,           0.0098992,           0.0098992,           0.0099243
                   3,            0.035252,            0.024513,           0.0037041,             0.85397,             0.68129,             0.74145,             0.37835,            0.033053,            0.017716,           0.0028454,           0.0097798,           0.0097798,           0.0097798
                   4,            0.034743,            0.024459,           0.0036559,             0.85074,             0.66827,             0.73313,             0.38925,            0.032431,            0.017395,           0.0029202,           0.0097798,           0.0097798,           0.0097798
                   5,            0.034238,            0.023964,           0.0034809,             0.85642,             0.68671,             0.73767,              0.3859,            0.032001,            0.017491,           0.0028183,            0.009611,            0.009611,            0.009611
                   6,            0.033802,            0.023746,           0.0033625,             0.86774,              0.6939,             0.74597,              0.4063,            0.031737,            0.017089,           0.0025663,           0.0093971,           0.0093971,           0.0093971
                   7,            0.033395,            0.023307,           0.0032667,             0.86281,             0.70278,             0.75025,             0.40613,            0.031323,            0.016996,           0.0025007,           0.0091406,           0.0091406,           0.0091406
                   8,            0.033068,            0.023381,           0.0031678,             0.86751,             0.71217,             0.76805,             0.42237,            0.030896,            0.016715,           0.0023864,           0.0088442,           0.0088442,           0.0088442
                   9,            0.032794,            0.023156,           0.0030608,             0.88121,             0.68855,              0.7585,             0.40934,            0.030978,            0.016737,            0.002411,           0.0085111,           0.0085111,           0.0085111
                  10,            0.032478,            0.023061,           0.0030654,             0.88895,             0.70615,             0.76596,             0.41748,            0.030619,            0.016574,           0.0023535,            0.008145,            0.008145,            0.008145
                  11,            0.032178,            0.022795,           0.0029632,             0.89987,             0.70206,             0.76243,             0.42293,            0.030547,            0.016523,           0.0023066,             0.00775,             0.00775,             0.00775
                  12,            0.031752,            0.022734,           0.0028564,             0.88317,             0.71975,             0.76507,             0.42633,            0.030058,            0.016374,           0.0022792,           0.0073303,           0.0073303,           0.0073303
                  13,            0.031308,            0.022149,           0.0028133,             0.90288,              0.6966,              0.7672,             0.43476,            0.030031,            0.016319,           0.0021641,           0.0068906,           0.0068906,           0.0068906
                  14,            0.031252,            0.022176,           0.0027407,             0.91561,             0.70129,             0.77541,             0.43979,            0.029712,              0.0162,           0.0021818,           0.0064356,           0.0064356,           0.0064356
                  15,            0.030811,            0.021908,           0.0026351,             0.90567,             0.71215,             0.77419,             0.44599,            0.029438,            0.016016,           0.0020606,           0.0059704,           0.0059704,           0.0059704
                  16,            0.030396,            0.021593,           0.0026292,             0.90411,             0.71537,             0.77909,             0.44594,            0.029209,            0.015977,           0.0019811,              0.0055,              0.0055,              0.0055
                  17,            0.030111,            0.021443,            0.002502,             0.88888,             0.73521,               0.781,             0.44638,            0.029057,            0.015906,           0.0020325,           0.0050296,           0.0050296,           0.0050296
                  18,            0.029814,             0.02133,           0.0024387,             0.90383,             0.72882,             0.78474,             0.45672,            0.028764,            0.015722,           0.0019725,           0.0045644,           0.0045644,           0.0045644
                  19,            0.029407,            0.021053,           0.0024302,             0.90184,             0.73671,             0.78575,             0.46213,            0.028652,            0.015659,           0.0019117,           0.0041094,           0.0041094,           0.0041094
                  20,            0.029087,            0.020864,            0.002373,             0.89667,             0.73644,             0.78505,             0.46084,            0.028461,            0.015561,           0.0019093,           0.0036697,           0.0036697,           0.0036697
                  21,            0.028729,            0.020624,           0.0023413,              0.9053,             0.72761,              0.7906,             0.46517,            0.028332,             0.01547,           0.0018686,             0.00325,             0.00325,             0.00325
                  22,            0.028313,            0.020417,           0.0022665,             0.89813,             0.73677,             0.78949,             0.47098,            0.028283,            0.015465,           0.0018183,            0.002855,            0.002855,            0.002855
                  23,             0.02806,            0.020072,           0.0021884,             0.92192,              0.7247,             0.78755,              0.4704,            0.028027,            0.015345,           0.0017991,           0.0024889,           0.0024889,           0.0024889
                  24,            0.027801,            0.019901,           0.0021288,             0.91381,             0.73618,             0.79373,             0.47331,            0.027949,            0.015325,           0.0017999,           0.0021558,           0.0021558,           0.0021558
                  25,            0.027484,            0.019753,           0.0021102,             0.92264,             0.73187,             0.79614,             0.47762,            0.027823,            0.015265,           0.0018075,           0.0018594,           0.0018594,           0.0018594
                  26,            0.027258,            0.019596,           0.0020761,             0.91139,             0.74294,             0.79738,             0.47822,            0.027681,            0.015216,           0.0018114,           0.0016029,           0.0016029,           0.0016029
                  27,            0.026933,            0.019395,           0.0020449,             0.89862,             0.75049,             0.79812,             0.48163,            0.027654,            0.015175,           0.0017963,            0.001389,            0.001389,            0.001389
                  28,            0.026879,            0.019401,            0.002064,             0.92181,             0.73466,             0.79707,             0.48168,             0.02754,            0.015134,           0.0017831,           0.0012202,           0.0012202,           0.0012202
                  29,             0.02673,            0.019203,           0.0020187,              0.9187,             0.74468,             0.79876,             0.48392,            0.027478,            0.015122,           0.0017538,           0.0010983,           0.0010983,           0.0010983
