               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027302,            0.019166,           0.0020028,             0.92079,               0.733,             0.79671,             0.46881,            0.028325,            0.015243,           0.0018416,           0.0033308,           0.0033308,            0.070023
                   1,            0.029012,            0.019756,           0.0021568,             0.90338,              0.7265,             0.78497,             0.44914,            0.029288,            0.015859,           0.0021357,           0.0066615,           0.0066615,             0.04002
                   2,            0.031525,            0.021569,           0.0026373,             0.87265,             0.68476,             0.75168,             0.40488,            0.031578,            0.017082,           0.0026213,           0.0099817,           0.0099817,            0.010007
                   3,            0.033916,            0.023648,           0.0033529,             0.85675,             0.68673,             0.74739,             0.39194,            0.032512,            0.017409,           0.0028391,           0.0099645,           0.0099645,           0.0099645
                   4,            0.033683,            0.023732,           0.0034027,             0.88063,             0.67758,             0.75205,             0.39738,            0.032172,            0.017331,           0.0026508,           0.0099645,           0.0099645,           0.0099645
                   5,            0.033318,             0.02331,           0.0032574,             0.85608,             0.69907,             0.75511,             0.40275,            0.031242,            0.017021,           0.0025952,            0.009937,            0.009937,            0.009937
                   6,            0.033021,            0.023126,           0.0031708,             0.85666,             0.69983,              0.7571,             0.41224,            0.031556,            0.017046,           0.0025108,           0.0099017,           0.0099017,           0.0099017
                   7,            0.032866,            0.022956,            0.003179,              0.8531,             0.70336,             0.74932,             0.40392,             0.03119,            0.016949,           0.0024285,           0.0098586,           0.0098586,           0.0098586
                   8,            0.032747,            0.023086,            0.003116,              0.8746,             0.70099,             0.76812,             0.41693,            0.031068,            0.016749,           0.0024929,           0.0098079,           0.0098079,           0.0098079
                   9,            0.032546,            0.022925,           0.0030397,              0.8962,             0.69842,             0.76608,             0.41744,             0.03065,            0.016624,            0.002515,           0.0097497,           0.0097497,           0.0097497
                  10,            0.032489,            0.022949,           0.0030847,             0.90054,             0.69503,             0.76658,             0.41928,              0.0305,            0.016563,           0.0023103,            0.009684,            0.009684,            0.009684
                  11,            0.032517,            0.022888,           0.0030558,              0.8887,             0.71051,             0.76735,             0.42364,             0.03049,            0.016541,           0.0022615,            0.009611,            0.009611,            0.009611
                  12,              0.0322,            0.022907,           0.0029686,             0.87854,             0.72487,             0.76931,             0.42229,            0.030228,             0.01646,           0.0023345,           0.0095307,           0.0095307,           0.0095307
                  13,            0.032047,            0.022433,            0.002959,             0.88475,             0.71418,             0.76487,               0.432,            0.030066,            0.016436,           0.0023034,           0.0094434,           0.0094434,           0.0094434
                  14,            0.032088,            0.022602,           0.0029295,             0.89047,             0.70834,             0.77551,             0.44138,            0.029973,            0.016359,           0.0022721,           0.0093491,           0.0093491,           0.0093491
                  15,             0.03202,            0.022533,           0.0029191,             0.89043,             0.70189,             0.76788,               0.436,            0.030058,            0.016431,           0.0022232,           0.0092481,           0.0092481,           0.0092481
                  16,             0.03184,            0.022427,            0.002957,             0.88324,             0.71646,             0.77816,             0.43628,            0.029776,            0.016257,           0.0022087,           0.0091406,           0.0091406,           0.0091406
