               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061537,            0.033891,            0.019123,              0.4661,             0.44481,             0.28019,              0.1226,            0.042493,            0.021014,            0.010672,           0.0033308,           0.0033308,            0.070023
                   1,            0.048317,            0.028614,            0.010169,             0.57252,             0.45128,             0.36738,             0.16755,            0.039982,            0.020454,           0.0081908,           0.0066627,           0.0066627,            0.040021
                   2,             0.04557,            0.028596,           0.0084327,             0.77117,             0.40075,             0.44196,             0.20141,             0.03937,            0.020568,             0.00707,           0.0099886,           0.0099886,            0.010014
                   3,             0.04394,            0.028582,           0.0074438,             0.78516,             0.44985,             0.47797,             0.22092,            0.038139,            0.019931,           0.0059717,             0.00998,             0.00998,             0.00998
                   4,            0.041375,            0.027993,           0.0065771,             0.82469,             0.47797,             0.51991,             0.25412,            0.036813,            0.019465,           0.0049909,             0.00998,             0.00998,             0.00998
                   5,            0.040371,            0.027286,           0.0059209,             0.85361,             0.47256,             0.53707,             0.26672,            0.036509,            0.019311,           0.0046535,           0.0099645,           0.0099645,           0.0099645
                   6,            0.039518,             0.02699,           0.0056059,             0.85249,             0.49371,             0.56602,             0.28396,            0.036103,            0.019151,           0.0043784,           0.0099446,           0.0099446,           0.0099446
                   7,            0.039001,            0.026572,            0.005299,             0.87196,             0.49017,             0.58568,             0.29599,            0.035352,            0.018913,           0.0042142,           0.0099203,           0.0099203,           0.0099203
                   8,            0.038562,            0.026615,           0.0050728,             0.86121,             0.49962,             0.60609,              0.3062,            0.035134,            0.018845,           0.0039089,           0.0098916,           0.0098916,           0.0098916
                   9,            0.038114,            0.026397,           0.0048118,             0.86589,             0.50819,             0.60968,             0.30784,            0.034866,            0.018666,           0.0037254,           0.0098586,           0.0098586,           0.0098586
                  10,            0.037722,            0.026289,           0.0047362,              0.8711,             0.51645,             0.65566,             0.33175,            0.034355,            0.018425,           0.0035654,           0.0098213,           0.0098213,           0.0098213
                  11,            0.037516,            0.026019,           0.0045287,             0.63869,             0.65734,             0.66858,             0.33677,            0.034051,            0.018322,           0.0033673,           0.0097798,           0.0097798,           0.0097798
                  12,            0.037181,            0.026058,           0.0043602,             0.77633,             0.63116,             0.67742,             0.34989,            0.033788,            0.018211,           0.0033391,            0.009734,            0.009734,            0.009734
